HORÁRIO,SEGUNDA-FEIRA,TERÇA-FEIRA,QUARTA-FEIRA,QUINTA-FEIRA,SEXTA-FEIRA
['17:40-18:30'],"['IERI39202', '1B302']",,,"['ACE-BSI', '1B302']",
['13:10-14:00'],,,"['FACOM33201', 'LAB 8']",,
['14:00-14:50'],,,"['FACOM33201', 'LAB 8']",,
['14:50-15:40'],"['FACOM33201', 'LAB 8']",,,,
['16:00-16:50'],"['FACOM33201', 'LAB 8']",,,,
['16:50-17:40'],,,,,
['17:40-18:30'],,,,,
['07:10-08:00'],"['FAMAT333304', '1B302']","['FAMAT333304', '1B302']",,,
['08:00-08:50'],"['FAMAT333304', '1B302']","['FAMAT333304', '1B302']",,,
['08:50-09:40'],,,"['GSI512', 'LAB2']","['GSI516', '1A205/LAB 4']","['GSI516', '1A205 / LAB 4']"
['09:50-10:40'],,,"['GSI512', 'LAB2']","['GSI516', '1A205/LAB 4']","['GSI516', '1A205 / LAB 4']"
['10:40-11:30'],"['FACOM33302', 'LAB 9']","['FACOM33302', 'LAB 9']",,"['GSI512', 'LAB2']",
['11:30-12:20'],"['FACOM33302', 'LAB 9']","['FACOM33302', 'LAB 9']",,"['GSI512', 'LAB2']",
['07:10-08:00'],,"['FACOM33306', '1A213']","['FACOM33306', 'LAB 9']",,
['08:00-08:50'],,"['FACOM33306', '1A213']","['FACOM33306', '1A213']",,
['08:50-09:40'],"['FACOM33304', 'LAB 8']","['FACOM33303', '1A213']","['FACOM33303', '1A213']","['FACOM33307', 'LAB 8']","['GSI517', '1A213']"
['09:50-10:40'],"['FACOM33304', 'LAB 8']","['FACOM33303', '1A213']","['FACOM33303', '1A213']","['FACOM33307', 'LAB 8']","['GSI517', '1A213']"
['10:40-11:30'],"['FACOM33305', 'LAB 8']","['FACOM33305', 'LAB 8']","['FACOM33307', '1A213']","['GSI517', '1A213']","['FACOM33304', 'LAB 8']"
['11:30-12:20'],"['FACOM33305', 'LAB 8']","['FACOM33305', 'LAB 8']","['FACOM33307', '1A213']","['GSI517', '1A213']","['FACOM33304', 'LAB 8']"
['13:10-14:00'],"['FACOM33402', 'LAB 8']","['FACOM33402', 'LAB 8']","['GSI523', 'LAB2']","['GSI522', '1A203']","['GSI523', 'LAB2']"
['14:00-14:50'],"['FACOM33402', 'LAB 8']","['FACOM33402', 'LAB 8']","['GSI523', 'LAB2']","['GSI522', '1A203']","['GSI523', 'LAB2']"
['14:50-15:40'],"['FACOM33401', 'LAB2']","['GSI522', '1A203']","['GSI519', '1A203']","['FACOM33401', 'LAB2']","['GSI519', '1A203']"
['16:00-16:50'],"['FACOM33401', 'LAB2']","['GSI522', '1A203']","['GSI519', '1A203']","['FACOM33401', 'LAB2']","['GSI519', '1A203']"
['16:50-17:40'],,,,,
['17:40-18:30'],,,,,
['07:10-08:00'],,"['FACOM33306', '1A213']","['FACOM33306', '1A2013']",,
['08:00-08:50'],,"['FACOM33306', '1A213']","['FACOM33306', '1A2013']",,
['08:50-09:40'],"['GSI521', '1A203']","['GSI521', 'LAB 4']","['GSI525', '1A203']","['GSI525', '1A203']","['FACOM33501', 'LAB1']"
['09:50-10:40'],"['GSI521', '1A203']","['GSI521', 'LAB 4']","['GSI525', '1A203']","['GSI525', '1A203']","['FACOM33501', 'LAB1']"
['10:40-11:30'],"['GSI524', '1A203']","['GSI524', '1A203']","['FACOM33501', '1A203']","['GSI556', '1A203']","['GSI556', 'LAB 9']"
['11:30-12:20'],"['GSI524', '1A203']","['GSI524', '1A203']","['FACOM33501', '1A203']","['GSI556', '1A203']","['GSI556', 'LAB 9']"
['13:10-14:00'],"['GSI530', '1A205/LAB4']","['GSI529', '1A205']","['FACOM39007', 'LAB 9']","['GSI533', 'LAB1']","['FACOM39007', 'LAB 9']"
['14:00-14:50'],"['GSI530', '1A205/LAB4']","['GSI529', '1A205']","['FACOM39007', 'LAB 9']","['GSI533', 'LAB1']","['FACOM39007', 'LAB 9']"
['14:50-15:40'],,"['GSI530', '1A205/LAB4']","['GSI533', 'LAB1']","['GSI534', '1A205']","['GSI529', '1A205']"
['16:00-16:50'],"['IERI39202', '1B302']","['GSI530', '1A205/LAB4']","['GSI533', 'LAB1']","['GSI534', '1A205']","['GSI529', '1A205']"
['16:50-17:40'],"['IERI39202', '1B302']",,"['GSI534', '1A205']",,
['17:40-18:30'],"['IERI39202', '1B302']",,"['GSI534', '1A205']",,
['07:10-08:00'],,,,"['GSI538', 'LAB1']","['GSI538','LAB1']"
['08:00-08:50'],"['GSI501', '1A205']",,,"['GSI538','LAB1']","['GSI538', 'LAB1']"
['08:50-09:40'],"['GSI501', '1A205']",,"['FACOM31703', '1A205']",,"['FACOM39002', 'LAB 5']"
['09:50-10:40'],"['IEUFU39602', '1A205']",,"['FACOM31703', '1A205']",,"['FACOM39002', 'LAB 5']"
['10:40-11:30'],"['IEUFU39602', '1A205']","['GSI501', '1A205']","['FACOM39002', 'LAB 5']","['GSI536', '1A205/LAB 4']","['GSI536', '1A205/LAB2']"
['11:30-12:20'],,"['GSI501', '1A205']",,"['GSI536', '1A205/LAB 4']","['GSI536', '1A205/LAB2']"
['07:10-08:00'],,"['IQUFU39105', '1B301']","['FECIV39104', 'Lab.Desenho Técnico']",,
['08:00-08:50'],"['FAMAT39111', '1B301']","['IQUFU39105', '1B301']","['FECIV39104', 'Lab.Desenho Técnico']","['ICIAG33105', '1B301']",
['08:50-09:40'],"['FAMAT39111', '1B301']",,"['FECIV39104', 'Lab.Desenho Técnico']","['ICIAG33105', '1B301']","['FAMAT39111', '1B301']"
['09:50-10:40'],"['IQUFU39105', '1B301']","['IQUFU39105', '1B301']","['FECIV39104', 'Lab.Desenho Técnico']","['ICIAG33104', '1B301']","['FAMAT39111', '1B301']"
['10:40-11:30'],"['IQUFU39105', '1B301']","['IQUFU39105', '1B301']","['FECIV39104', 'Lab.Desenho Técnico']","['ICIAG33104', '1B301']","['ICIAG33103', '1B301']"
['11:30-12:20'],,"['ICIAG33103', 'Lab.Práticas Biológicas']","['FECIV39104', 'Lab.Desenho Técnico']","['ICIAG33104', '1B301']","['ICIAG33103', '1B301']"
['13:10-14:00'],,,,,
['14:00-14:50'],"['ICIAG33105', ' Unidade Boa Vista']","['ICIAG33103', 'Lab.Práticas Biológicas']",,,
['14:50-15:40'],"['ICIAG33105', ' Unidade Boa Vista']",,,,
['16:00-16:50'],,"['ICIAG33103', 'Lab.Práticas Biológicas']",,,
['16:50-17:40'],,,,,
['17:40-18:30'],,,,,
['07:10-08:00'],,,,,"['FECIV39201', '1B405']"
['08:00-08:50'],,,,,"['FECIV39201', '1B405']"
['08:50-09:40'],"['ACE-AGRO', 'TATIANE']",,,,"['FECIV39201', '1B405']"
['09:50-10:40'],,,"['IQUFU39203', '1A210']",,"['FECIV39201', '1B405']"
['10:40-11:30'],,,"['IQUFU39203', '1A210']",,
['11:30-12:20'],,,,,
['13:10-14:00'],"['ICIAG33203', '1B301']","['INFIS39204', '1B301']","['ICIAG33203', ' LABOT']",,"['IQUFU39203', '1A210']"
['14:00-14:50'],"['ICIAG33203', '1B301']","['INFIS39204', '1B301']","['ICIAG33203', ' LABOT']",,"['IQUFU39203', '1A210']"
['14:50 -15:40'],"['FAMAT39208', '1B404']","['INFIS39204', '1B301']","['ICIAG33203', ' LABOT']","['ICIAG33202', '1B301']",
['16:00-16:50'],"['FAMAT39208', '1B404']","['INFIS39204', '1B301']","['ICIAG33203', ' LABOT']","['ICIAG33202', '1B301']",
['16:50-17:40'],,"['FAMAT39208', '1B404']",,,
['17:40-18:30'],,"['FAMAT39208', '1B404']",,,
['07:10-08:00'],,,"['IBTEC39304', '1B301']","['IBTEC39304', '1B405']",
['08:00-08:50'],,,"['IBTEC39304', '1B301']","['IBTEC39304', '1B405']",
['08:50-09:40'],,,"['IBTEC39304', '1B301']","['ICIAG33306', ' LABOT']","['FAMAT39305', '1A216']"
['09:50-10:40'],,,,"['ICIAG33306', ' LABOT']","['FAMAT39305', '1A216']"
['10:40-11:30'],,"['IGUFU39310', '1B405']","['ICIAG33306', '1B405']","['ICIAG33306', ' LABOT']","['FAMAT39305', '1A216']"
['11:30-12:20'],,"['IGUFU39310', '1B405']","['ICIAG33306', '1B405']","['ICIAG33306', ' LABOT']",
['13:10-14:00'],,,"['ICIAG33305', '1B405']","['ACE-AGRO', 'Adriane e Tatiane']","['FECIV39301', '1B301']"
['14:00-14:50'],,,"['ICIAG33305', '1B405']","['IGUFU39310', ' Lab. Boa Vista']","['FECIV39301', '1B301']"
['14:50-15:40'],"['IGUFU39309', 'LASER']",,"['ICIAG33305', '1B405']","['IGUFU39310', ' Lab. Boa Vista']","['FECIV39301', ' FACOM-Laboratório 9']"
['16:00-16:50'],"['IGUFU39309', 'LASER']",,,,"['FECIV39301', ' FACOM-Laboratório 9']"
['16:50-17:40'],"['IGUFU39309', 'LASER']",,,,
['17:40-18:30'],,,,,
['7:10-8:00'],,,,,,
['8:00-8:50'],"['GAC001', '1A204']","['GAC004', '1A204']",,,,
['8:50-9:40'],"['GAC001', '1A204']","['GAC004', '1A204']",,,,
['9:50-10:40'],"['GAC001', '1A204']",,"['GAC003', 'LAB.CARTOGRAFIA']",,,
['10:40-11:30'],"['GAC004', '1A204']",,"['GAC003', 'LAB. CARTOGRAFIA']",,,
['11:30-12:20'],"['GAC004', '1A204']",,"['GAC003', 'LAB. CARTOGRAFIA']",,,
['13:10-14:00'],,"['GAC006', '1A206']",,,,
['14:00-14:50'],"['GAC005', '1A204']","['GAC006', '1A206']",,"['GAC005', '1B401']",,
['14:50-15:40'],"['GAC005', '1A204']","['GAC006', '1A206']","['GAC002', '1A206 / LAB09 FACOM']","['GAC005', '1B401']",,
['16:00-16:50'],"['GAC005', '1A204']","['GAC006', '1A206']","['GAC002', '1A206 / LAB09 FACOM']","['GAC005', '1B401']",,
['16:50-17:40'],,,,"['GAC002', '1A215/ LTGEO']",,
['17:40-18:30'],,,,"['GAC002', '1A215/ LTGEO']",,
['7:10-8:00'],"['GAC009', '1B401']",,,,,
['8:00-8:50'],"['GAC009', '1B401']","['GAC008', '1B303 No Curso de Geologia']",,"['GAC010', '1A215']","['GAC010', '1A215']",
['8:50-9:40'],"['GAC009', '1B401']","['GAC008', '1B303 No Curso de Geologia']",,"['GAC010', '1A215']","['GAC010', '1A215']",
['9:50-10:40'],"['GAC009', '1B401']","['GAC008', '1B303 No Curso de Geologia']",,,,
