Orgao Responsável,Título,Link,Tipo,Data de Publicação,Resultado
DEPAE,EDITAL DE SELEÇÃO DE BOLSISTAS COM CONHECIMENTO EM LIBRAS - 1º SEMESTRE LETIVO DE 2022,http://www.editais.ufu.br/node/5951,Estágio UFU,03/11/2022,Não Publ.
DIRPO,PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO(A) DO CURSO DE ENGENHARIA ELÉTRICA,http://www.editais.ufu.br/node/5939,Estágio UFU,25/10/2022,Não Publ.
PET CIÊNCIAS CONTÁBEIS,EDITAL DE SELEÇÃO DE ESTUDANTES PARA INGRESSO NO PET CIÊNCIAS CONTÁBEIS,http://www.editais.ufu.br/node/5926,Programa PET,21/10/2022,Não Publ.
PPGBIOTEC,EDITAL DE ABERTURA DAS INSCRIÇÕES E DO PROCESSO DE SELEÇÃO PARA INGRESSO NO CURSO DE MESTRADO DO PROGRAMA DE PÓS-GRADUAÇÃO EM BIOTECNOLOGIA – TURMA 2023,http://www.editais.ufu.br/node/5921,Mest./Dout./Especializ.,20/10/2022,Não Publ.
DIRPO,PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO(A) DO CURSO DE ARQUITETURA E URBANISMO,http://www.editais.ufu.br/node/5903,Estágio UFU,11/10/2022,Não Publ.
PPGGB/IBTEC/UFU,Edital PPGGB/IBTEC/UFU nº 002/2022 - Doutorado Acadêmico,http://www.editais.ufu.br/node/5890,Mest./Dout./Especializ.,05/10/2022,Não Publ.
PET Estatística,Edital de seleção de alunos para o PET Estatística,http://www.editais.ufu.br/node/5879,Programa PET,27/09/2022,Não Publ.
RELAM,PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO(A) - RELAM,http://www.editais.ufu.br/node/5878,Estágio UFU,26/09/2022,Não Publ.
DEPAE,EDITAL DE SELEÇÃO DE BOLSISTAS COM CONHECIMENTO EM LIBRAS,http://www.editais.ufu.br/node/5866,Estágio UFU,08/09/2022,Não Publ.
DEPAE,EDITAL DE SELEÇÃO DE BOLSISTAS,http://www.editais.ufu.br/node/5868,Estágio UFU,08/09/2022,Não Publ.
DEPAE,EDITAL DEPAE Nº 7/2022 - EDITAL DE SELEÇÃO DE MONITORES 2022/1,http://www.editais.ufu.br/node/5865,Monitoria,06/09/2022,Não Publ.
