"id","horario_partida","ponto_saida","tipo_onibus","destino","created_at"
108,"14:10","Sesi","Municipal","Araras","2024-02-26 15:17:34.95574"
109,"14:12","Praça Nª Sra de Fátima","Municipal","Araras","2024-02-26 15:17:34.95574"
110,"14:14","Posto Carmelitano","Municipal","Araras","2024-02-26 15:17:34.95574"
111,"14:16","Drogaria Compro Certo","Municipal","Araras","2024-02-26 15:17:34.95574"
112,"14:18","DER","Municipal","Araras","2024-02-26 15:17:34.95574"
113,"14:21","Posto Zema","Municipal","Araras","2024-02-26 15:17:34.95574"
114,"14:23","Praça 3 de Outubro","Municipal","Araras","2024-02-26 15:17:34.95574"
115,"14:25","Praça Rodoviária","Municipal","Araras","2024-02-26 15:17:34.95574"
116,"14:27","Escola Letícia Chaves","Municipal","Araras","2024-02-26 15:17:34.95574"
117,"14:29","Boa Vista","Municipal","Araras","2024-02-26 15:17:34.95574"
118,"14:31","Av 15 de Novembro Catulina","Municipal","Araras","2024-02-26 15:17:34.95574"
119,"14:33","Cidade Jardim","Municipal","Araras","2024-02-26 15:17:34.95574"
120,"14:38","Araras","Municipal","Araras","2024-02-26 15:17:34.95574"
121,"15:00","Araras","Municipal","SESI","2024-02-26 15:17:34.95574"
122,"15:05","Cidade Jardim","Municipal","SESI","2024-02-26 15:17:34.95574"
123,"15:07","Av 15 de Novembro (Pé de manga)","Municipal","SESI","2024-02-26 15:17:34.95574"
124,"15:09","Boa Vista","Municipal","SESI","2024-02-26 15:17:34.95574"
125,"15:12","Praça Rodoviária","Municipal","SESI","2024-02-26 15:17:34.95574"
126,"15:14","Praça 3 de Outubro","Municipal","SESI","2024-02-26 15:17:34.95574"
127,"15:17","Espaço Cultural","Municipal","SESI","2024-02-26 15:17:34.95574"
128,"15:19","Posto Carmelitano","Municipal","SESI","2024-02-26 15:17:34.95574"
129,"15:21","Praça Nª Sra de Fátima","Municipal","SESI","2024-02-26 15:17:34.95574"
130,"15:23","Madeira do Tonhão","Municipal","SESI","2024-02-26 15:17:34.95574"
131,"15:25","Sesi","Municipal","SESI","2024-02-26 15:17:34.95574"
132,"15:50","Araras","Intercampi","Boa Vista","2024-02-26 15:17:34.95574"
133,"15:55","Cidade Jardim","Intercampi","Boa Vista","2024-02-26 15:17:34.95574"
134,"15:59","Boa Vista","Intercampi","Boa Vista","2024-02-26 15:17:34.95574"
135,"17:00","Araras","Intercampi","Boa Vista","2024-02-26 15:17:34.95574"
136,"17:05","Cidade Jardim","Intercampi","Boa Vista","2024-02-26 15:17:34.95574"
137,"17:09","Boa Vista","Intercampi","Boa Vista","2024-02-26 15:17:34.95574"
138,"17:10","Araras","Municipal","SESI","2024-02-26 15:17:34.95574"
139,"17:15","Cidade Jardim","Municipal","SESI","2024-02-26 15:17:34.95574"
140,"17:17","Av 15 de Novembro (Pé de manga)","Municipal","SESI","2024-02-26 15:17:34.95574"
141,"17:19","Boa Vista","Municipal","SESI","2024-02-26 15:17:34.95574"
142,"17:22","Praça Rodoviária","Municipal","SESI","2024-02-26 15:17:34.95574"
143,"17:24","Praça 3 de Outubro","Municipal","SESI","2024-02-26 15:17:34.95574"
144,"17:27","Espaço Cultural","Municipal","SESI","2024-02-26 15:17:34.95574"
145,"17:29","Posto Carmelitano","Municipal","SESI","2024-02-26 15:17:34.95574"
146,"17:31","Praça Nª Sra de Fátima","Municipal","SESI","2024-02-26 15:17:34.95574"
147,"17:33","Madeira do Tonhão","Municipal","SESI","2024-02-26 15:17:34.95574"
148,"17:35","Sesi","Municipal","SESI","2024-02-26 15:17:34.95574"
149,"17:40","Sesi","Municipal","Araras","2024-02-26 15:17:34.95574"
150,"17:40","Boa Vista","Intercampi","Araras","2024-02-26 15:17:34.95574"
151,"17:42","Praça Nª Sra de Fátima","Municipal","Araras","2024-02-26 15:17:34.95574"
152,"17:44","Posto Carmelitano","Municipal","Araras","2024-02-26 15:17:34.95574"
153,"17:44","Cidade Jardim","Intercampi","Araras","2024-02-26 15:17:34.95574"
154,"17:46","Drogaria Compro Certo","Municipal","Araras","2024-02-26 15:17:34.95574"
155,"17:48","DER","Municipal","Araras","2024-02-26 15:17:34.95574"
156,"17:49","Araras","Intercampi","Araras","2024-02-26 15:17:34.95574"
157,"17:50","Posto Zema","Municipal","Araras","2024-02-26 15:17:34.95574"
158,"17:52","Praça 3 de Outubro","Municipal","Araras","2024-02-26 15:17:34.95574"
159,"17:55","Praça Rodoviária","Municipal","Araras","2024-02-26 15:17:34.95574"
160,"17:57","Escola Letícia Chaves","Municipal","Araras","2024-02-26 15:17:34.95574"
161,"17:59","Boa Vista","Municipal","Araras","2024-02-26 15:17:34.95574"
162,"18:01","Av 15 de Novembro Catulina","Municipal","Araras","2024-02-26 15:17:34.95574"
163,"18:03","Cidade Jardim","Municipal","Araras","2024-02-26 15:17:34.95574"
164,"18:08","Araras","Municipal","Araras","2024-02-26 15:17:34.95574"
165,"18:20","Araras","Intercampi","Boa Vista","2024-02-26 15:17:34.95574"
166,"18:25","Cidade Jardim","Intercampi","Boa Vista","2024-02-26 15:17:34.95574"
167,"18:29","Boa Vista","Intercampi","Boa Vista","2024-02-26 15:17:34.95574"
168,"18:40","Araras","Municipal","SESI","2024-02-26 15:17:34.95574"
169,"18:51","Praça Rodoviária","Municipal","SESI","2024-02-26 15:17:34.95574"
170,"18:53","Praça 3 de Outubro","Municipal","SESI","2024-02-26 15:17:34.95574"
171,"18:56","Espaço Cultural","Municipal","SESI","2024-02-26 15:17:34.95574"
172,"18:58","Posto Carmelitano","Municipal","SESI","2024-02-26 15:17:34.95574"
173,"19:00","Praça Nª Sra de Fátima","Municipal","SESI","2024-02-26 15:17:34.95574"
174,"19:02","Madeira do Tonhão","Municipal","SESI","2024-02-26 15:17:34.95574"
175,"19:04","Sesi","Municipal","SESI","2024-02-26 15:17:34.95574"
176,"19:20","Araras","Intercampi","Boa Vista","2024-02-26 15:17:34.95574"
177,"19:25","Cidade Jardim","Intercampi","Boa Vista","2024-02-26 15:17:34.95574"
178,"19:29","Boa Vista","Intercampi","Boa Vista","2024-02-26 15:17:34.95574"
