HORÁRIO,SEGUNDA-FEIRA,TERÇA-FEIRA,QUARTA-FEIRA,QUINTA-FEIRA,SEXTA-FEIRA
16h50-17h40,,IGUFU32408- PALEONTOLOGIAII PROFªSUZANA SALA1A214 ou LAPE,,INFIS32401-FÍSICAIII PROFªSORANDRA SALA1B303,
17h40-18h30,,,,INFIS32401-FÍSICAIII PROFªSORANDRA SALA1B303,
07h10-08h00,,,,,
08h00-08h50,,IGUFU32510– GEOPROCESSAMENTO PROF.BRENO GEOTECHLAB,,,IGUFU32502- ESTRATIGRAFIA PROFªJOSIANE SALA1B303
08h50-09h40,,GUFU32510– GEOPROCESSAMENTO PROF.BRENO GEOTECHLAB,,,IGUFU32502- ESTRATIGRAFIA PROFªJOSIANE SALA1B303
09h50-10h40,,GUFU32510– GEOPROCESSAMENTO PROF.BRENO GEOTECHLAB,,,IGUFU32502- ESTRATIGRAFIA PROFªJOSIANE SALA1B303
10h40-11h30,IGUFU32602– HIDROGEOLOGIA PROF.ªLILIANE SALA1A209,GUFU32510– GEOPROCESSAMENTO PROF.BRENO GEOTECHLAB,,,IGUFU32502- ESTRATIGRAFIA PROFªJOSIANE SALA1B303
11h30-12h20,IGUFU32602– HIDROGEOLOGIA PROF.ªLILIANE SALA1A209,,,,
13h10-14h00,,,,,
14h00-14h50,IGUFU32509-GEOLOGIA ESTRUTURALE GEOTECTÔNICAI PROF.FILIPE LABCARTO,IGUFU32509-GEOLOGIA ESTRUTURALE GEOTECTÔNICAI PROF.FILIPE SALA1A212,IGUFU32602– HIDROGEOLOGIA PROF.ªLILIANE SALA1A212,,
14h50-15h40,IGUFU32509-GEOLOGIA ESTRUTURALE GEOTECTÔNICAI PROF.FILIPE LABCARTO,IGUFU32509-GEOLOGIA ESTRUTURALE GEOTECTÔNICAI PROF.FILIPE SALA1A212,IGUFU32602– HIDROGEOLOGIA PROF.ªLILIANE SALA1A212,,
16h00-16h50,IGUFU32509-GEOLOGIA ESTRUTURALE GEOTECTÔNICAI PROF.FILIPE LABCARTO,IGUFU32509-GEOLOGIA ESTRUTURALE GEOTECTÔNICAI PROF.FILIPE SALA1A212,,,
16h50-17h40,,,,,
17h40-18h30,,,,,
07h10-08h00,,,,,
08h00-08h50,IGUFU32612– PETROLOGIA METAMÓRFICA PROF.FILIPE SALA1A214,IGUFU32607-GEOFÍSICAI PROF.EMERSON SALA1A217 VilaDigital,IGUFU32608– GEOQUÍMICA SALA1B305OU GEOMIN,,
08h50-09h40,IGUFU32612– PETROLOGIA METAMÓRFICA PROF.FILIPE SALA1A214,IGUFU32607-GEOFÍSICAI PROF.EMERSON SALA1A217 VilaDigital,IGUFU32608– GEOQUÍMICA SALA1B305OU GEOMIN,,
09h50-10h40,IGUFU32612– PETROLOGIA METAMÓRFICA PROF.FILIPE SALA1A214,IGUFU32607-GEOFÍSICAI PROF.EMERSON SALA1A217 VilaDigital,IGUFU32608– GEOQUÍMICA SALA1B305 OUGEOMIN,,
10h40-11h30,,IGUFU32607-GEOFÍSICAI PROF.EMERSON SALA1A217 VilaDigital,IGUFU32608– GEOQUÍMICA SALA1B305OUGEOMIN,,
11h30-12h20,,,IGUFU32608– GEOQUÍMICA SALA1B305OUGEOMIN,,
13h10-14h00,,,,,
14h00-14h50,IGUFU32610- GEOLOGIAESTRUTURAL EGEOTECTÔNICAII PROF.MARCOANTÔNIO SALA1A212,IGUFU32610- GEOLOGIAESTRUTURAL EGEOTECTÔNICAII PROF.MARCOANTÔNIO SALA1A209,IGUFU32612– PETROLOGIA METAMÓRFICA PROF.FILIPE LABPETROouGEOMIN,,
14h50-15h40,IGUFU32610- GEOLOGIAESTRUTURAL EGEOTECTÔNICAII PROF.MARCOANTÔNIO SALA1A212,IGUFU32610- GEOLOGIAESTRUTURAL EGEOTECTÔNICAII PROF.MARCOANTÔNIO SALA1A209,IGUFU32612– PETROLOGIA METAMÓRFICA PROF.FILIPE LABPETROouGEOMIN,,
